AIRLINE,IATA_CODE,COUNTRY,ACTIVE
Airsprint,,Canada,N
Atlantic Southeast Airlines,EV,United States,Y
All Star Airlines,,ALL STAR,N
Air Class,,AIR CLASS,N
Aerlineas Del Oeste,,Mexico,N
Aviones Are,,Mexico,N
Air Nepal International,,Nepal,N
Air Napier,,New Zealand,N
Air Taxi & Cargo,,Sudan,N
Arrow Panama,,Panama,N
Astravia-Bissau Air Transports Ltd.,,Guinea-Bissau,N
Astrakhan Airlines,OB,Russia,Y
Air Transport Association,,United States,N
Atlantair Ltd.,,Canada,N
Air Tanzania,TC,Tanzania,Y
Aerotours Dominicana,,Dominican Republic,N
Atlantis Transportation Services,,ATLANTIS CANADA,N
Aerotrans Airline,,Kazakhstan,N
Air Charter World,,United States,N
Air Burkina,2J,Burkina Faso,Y
Air Travel Corp.,,United States,N
Aero-Tropics Air Services,HC,Australia,N
Air Traffic GmbH,,Germany,N
AeroTACA,,Colombia,N
Aerocentral,,Mexico,N
Airlines Of Tasmania,FO,Australia,Y
Air Saint Pierre,PJ,France,Y
Air Transport International,8C,United States,N
ASTRAL Colombia - Aerotransportes Especiales Ltda.,,Colombia,N
Air Transport Schiphol,,Netherlands,N
Aeroferinco,,Mexico,N
Aero Taxis Y Servicios Alfe,,Mexico,N
Avialesookhrana,,Russia,N
Africair Service,,Senegal,N
Atlas Airlines,,United States,N
Air Transport Service,,Democratic Republic of the Congo,N
Aer Turas,,Ireland,N
Atlant Aerobatics Ltd.,,Hungary,N
Avanti Air,,Germany,N
Aero Trades (Western) Ltd.,,Canada,N
Austrian Airlines,OS,Austria,Y
Air Southwest,,United Kingdom,Y
Augsburg Airways,IQ,Germany,Y
Air Corporate,,Italy,N
Aviastar-Tu,,Russia,N
AirBridge Cargo,RU,Russia,N
ATUR,,Ecuador,Y
ATESA Aerotaxis Ecuatorianos,,Ecuador,N
Austin Express,,United States,N
Audi Air,,AUDI AIR,N
Augusta Air Luftfahrtunternehmen,,Germany,N
Abu Dhabi Amiri Flight,MO,United Arab Emirates,Y
Aeroflot-Nord,5N,Russia,Y
Air Atlantic Uruguay,,Uruguay,N
Aviones Unidos,,Mexico,N
Avia Business Group,,Russia,N
Aero Servicios Expecializados,,Mexico,N
Aurigny Air Services,GR,United Kingdom,Y
Aus-Air,NO,Australia,N
Austral Lineas Aereas,AU,Argentina,Y
Aurora Aviation,,AURORA AIR,N
Air Uganda International Ltd.,,Uganda,N
Aerolineas Uruguayas,,AUSA,N
Australian Airlines,AO,Australia,N
Avianca - Aerovias Nacionales de Colombia,AV,AVIANCA,Y
Aviation Beaufort,,United Kingdom,N
Alamo Aviacion,,ALAMO,N
Aviair Aviation Ltd.,,Canada,N
Air Falcon,,Djibouti,N
AV8 Helicopters,,United Kingdom,N
Avia Traffic Company,,Kyrgyzstan,N
AV8 Helicopters,,South Africa,N
Aviacion Ejecutiva Mexicana,,AVEMEX,N
Air Vanuatu,NF,Vanuatu,Y
Aviation at Work,,South Africa,N
Avcorp Registrations,,United Kingdom,N
Alfa Aerospace,,Australia,N
Atlantic Airfreight Aviation,,Sao Tome and Principe,N
Aerolift Company,,Sierra Leone,N
Aviation Services,,AQUILINE,N
Active Aero Charter,,ACTIVE AERO,N
Avialsa T-35,,Spain,N
Asia Avia Airlines,,Indonesia,N
Avia Sud A,,France,N
Airvantage Incorporated,,United States,N
Aviator Airways,,Greece,N
Aviapaslauga,,Lithuania,N
ASL,,Belgium,N
Air Yugoslavia,,Serbia,N
Airlink Zambia,K8,Zambia,N
Agence Nationale des Aerodromes et de la Meteorologie,,Ivory Coast,N
Airbus Transport International,,France,N
Air Bangladesh,B9,Bangladesh,Y
Aviodetachment-28,,Bulgaria,N
Aero BG,,Mexico,N
Aerotaxis De La Bahia,,Mexico,N
Air Mediterranee,DR,France,Y
Aviaservice,,Georgia,N
Aerolineas De El Salvador,,El Salvador,N
Swaziland Airlink,,Swaziland,N
Air Moorea,,France,Y
Aerovaradero,,AEROVARADERO,N
Air Valencia,,Spain,N
Airways International,,AIRNAT,N
Airwork,,New Zealand,N
Australian Wetleasing,,Australia,N
Air Niamey,,Niger,N
Awood Air Ltd.,,Canada,N
Arctic Wings And Rotors Ltd.,,Canada,N
Auo Airclub AIST-M,,Russia,N
Arab Wings,,Jordan,N
Air West,,Canada,N
Aeroline GmbH,7E,Germany,Y
Airwave Transport,,AIRWAVE,N
Air Wales,6G,United Kingdom,Y
Aeroway,,AEROWEE,N
Air Caraïbes,TX,France,Y
AirWest,,Sudan,N
Air India Express,IX,India,Y
Air Express,,Sudan,N
Asian Express Airlines,HJ,Australia,N
Aeromexhaga,,Mexico,N
Aeron International Airlines,,AIR FREIGHTER,N
African Express Airways,,Kenya,N
Air Exel,XT,Netherlands,Y
AirAsia,AK,Malaysia,Y
Alexandair,,Greece,N
Aeromax,,Spain,N
Action Airlines (Action Air Charter),,United States,N
Alberni Airways,,Canada,N
Aerolineas Bonanza,,Mexico,N
Aerobona,,Mexico,N
Aboitiz Air,,Philippines,N
Axel Rent,,RENTAXEL,N
Altus Airlines,,United States,N
Aviaxess,,France,N
Avioimpex A.D.p.o.,,Macedonia,N
Axis Airways,6V,France,N
Aladia Airlines,,Mexico,N
Aykavia Aircompany,,Armenia,N
Airman,,AIRMAN,N
Atlantic Airlines,,ATLANTIC NICARAGUA,N
Awsaj Aviation Services,,Libya,N
Ayeet Aviation & Tourism,,Israel,N
Atlant-Soyuz Airlines,3G,Russia,Y
Alitalia,AZ,Italy,Y
Azamat,,Kazakhstan,N
Arcus-Air Logistic,ZE,Germany,N
Air Zermatt AG,,Switzerland,N
Azalhelikopter,,Azerbaijan,N
Africa One,,Zambia,N
Aerocozumel,,Mexico,N
Amaszonas,Z8,Bolivia,Y
Arizona Pacific Airways,,United States,N
Aviacon Zitotrans Air Company,,Russia,N
Azimut,,AZIMUT,N
Azov Avia Airlines,,Ukraine,N
Air Zimbabwe,UM,Zimbabwe,Y
Aero Jomacha,,Mexico,N
Air Memphis,,Egypt,N
Air Memphis,,Uganda,N
Air Marrakech Service,,Morocco,N
Air Max Africa,,Gabon,N
Arizona Airways,,ARIZAIR,N
Azza Transport,,Sudan,N
Air Continental Inc,,United States,N
Antanik-Air,,Ukraine,N
Air Newark,,United States,N
Aircraft Support and Services,,Lebanon,N
Aerobanana,,Mexico,N
Amako Airlines,,Nigeria,N
Aserca Airlines,R7,Venezuela,Y
Afrique CArgo Service Senegal,,Senegal,N
Angoservice,,Angola,N
Angel Airlines,,Thailand,N
Angel Flight America,,United States,N
Air Atonabee,,Canada,N
Aero Nova,,Spain,N
Amira Air,,Austria,N
Aero Express Intercontinental,,Mexico,N
Advance Aviation Services,,United States,N
Air Libya Tibesti,,Libya,N
Aerovic,,Ecuador,N
Airventure,,Belgium,N
Aero Servicios,,Mexico,N
Airvallee,,Italy,N
Aeromover,,Mexico,N
Aerovias Ejecutivas,,Mexico,N
Aero Servicio Pity,,Mexico,N
Aero Copter,,Mexico,N
Rossiya-Russian Airlines,FV,Russia,Y
Air Pal,,Spain,N
Air Pullmantur,,Spain,N
Aviaexpress,RX,Hungary,N
Aviones Para Servirle,,Mexico,N
Avio Sluzba,,Serbia,N
Air Scorpio,,Bulgaria,N
Air Spirit,,United States,N
Alatau Airlines,,Kazakhstan,N
Aviateca,,Guatemala,N
Aroostook Aviation,,United States,N
Aeropycsa,,Mexico,N
Association of Private Pilots of Kazakhstan,,Kazakhstan,N
The Amiri Flight,,Bahrain,N
Aero Services,,Barbados,N
Ababeel Aviation,,Sudan,N
Air Bashkortostan,,Russia,N
Ambulance Air Africa,,South Africa,N
American Eagle Airlines,MQ,United States,Y
Aeropuelche,,Chile,N
Aeroput,,Serbia,N
Azzurra Air,,Italy,N
Airshop,FF,Netherlands,N
African Transport Trading and Investment Company,ML,Sudan,N
AD Aviation,,United Kingdom,Y
Aero Costa Taxi Aereo,,Mexico,N
Aerovitro,,Mexico,N
Aerotaxi Villa Rica,,Mexico,N
Aerovega,,Mexico,N
Aerovilla,,Colombia,N
Aerolineas Villaverde,,Mexico,N
Aero Air,,United States,N
Aero Ejecutivos,,Venezuela,N
Aero Industries Inc,,United States,N
Aero Servicios Vanguardia,,Mexico,N
Aero Taxi Los Valles,,Spain,N
Aero Vilamoura,,Portugal,N
Aero Virel,,Mexico,N
Aeronautical Radio Inc,,United States,N
Aerovuelox,,Mexico,N
Aeronaves TSM,,Mexico,N
Air Ivoire,VU,Ivory Coast,Y
Air Botswana,BP,Botswana,Y
Air-Rep,,United States,N
Air Excel,,Tanzania,N
Air Evans,,Spain,N
Air Sorel,,Canada,N
Air Net Private Charter,,United States,N
Air Executive Charter,,Germany,N
Air Foyle,GS,United Kingdom,Y
Air Midwest,,Nigeria,N
Air Tahiti,VT,French Polynesia,Y
Air Urga,3N,Ukraine,N
Air Vardar,,Macedonia,N
Air VIA,VL,Bulgaria,Y
Air Walser,,Italy,N
Aircompany Rosavia,,Ukraine,N
Aircraft Performance Group,,United States,N
Airwaves Airlink,,Zambia,N
Airways Corporation of New Zealand,,New Zealand,N
Airways,,France,N
Airwings oy,,Finland,N
Airkenya,,Kenya,N
Air-Lift Associates,,United States,N
Airtrans Ltd,,Russia,N
ARP 410 Airlines,,Ukraine,N
Auckland Regional Rescue Helicopter Trust,,New Zealand,N
Aurora Airlines,,Slovenia,N
Austro Aereo,,Ecuador,N
Aviation Partners,,United States,N
Avialift Vladivostok,,Russia,N
Aviacion Comercial de America,,Mexico,N
Aviast Air,,Russia,N
Aviation North,,United States,N
Africa West,FK,Togo,Y
Avient Air Zambia,,Zambia,N
Aviazur,,France,N
Aviaprad,,Russia,N
Avirex,G2,Gabon,N
Aviaexpress Aircompany,,Ukraine,N
AMR Services Corporation,,United States,N
Airline Operations Services,,United States,N
Airlines 400,,Russia,N
ATRAN Cargo Airlines,V8,Russian Federation,Y
Ameravia,,Uruguay,N
Angkor Air,,Cambodia,N
AVB-2004 Ltd,,Bulgaria,N
ASECNA,,France,N
AT and T Aviation Division,,United States,N
Avalair,,Serbia,N
Averitt Air Charter,,United States,N
Avensa,VE,Venezuela,N
Avolar Aerolineas,V5,Mexico,N
Avstar Aviation,,South Africa,N
AVESCA,,Colombia,N
Aviaprom Enterprises,,Russia,N
Avia Trans Air Transport,,Sudan,N
Aviostart AS,,Bulgaria,N
Aviacao Transportes Aereos e Cargas,,Angola,N
Assistance Aeroportuaire de L'Aeroport de Paris,,France,N
American Flight Service Systems,,United States,N
AASANA,,Bolivia,N
Australian air Express,,Australia,N
AMS Group,,Russia,N
Air Caraibes Atlantique,,France,N
Air China Cargo,,China,N
Aerovias Caribe,,Mexico,N
Aerotaxi del Cabo,,Mexico,N
Air Columbus,,Ukraine,N
Aero Cabo,,Mexico,N
Air China,CA,China,Y
Aerocardal,,Chile,N
Aero Condor Peru,Q6,Peru,Y
Aerotrans,,Russia,N
Airline Skol,,Russia,N
Aerofan,,Spain,N
ACEF,,Portugal,N
Africa One,,Democratic Republic of the Congo,N
Aero Calafia,,Mexico,N
Air Cargo Belize,,Belize,N
Aero Clube Do Algarve,,Portugal,N
Air Great Wall,,China,N
Aircompany Chaika,,Ukraine,N
Air Charter Services,,Democratic Republic of the Congo,N
Air Charter Professionals,,United States,N
Asia Continental Airlines,,Kazakhstan,N
Arctic Circle Air Service,5F,United States,N
Aviation Charter Services,,United States,N
Aerovias Castillo,,Mexico,N
Aero Club De Portugal,,Portugal,N
Air Care Alliance,,United States,N
Aero Continente Dominicana,,Dominican Republic,N
Air Toronto,,Canada,N
Aquila Air,,United States,N
Air Consul,,Spain,N
Allcanada Express,,Canada,N
